Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,3,171,1,1,1900-01-05 02:00:00,1,1,1,9,8,1900-01-05 00:03:00,0,0,0,1,0,1,21,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,11:01:00,00:06:00,02:02:00,Graduate
1,18,4,9556,1,1,1900-01-05 07:00:00,1,1,38,4,7,1900-01-05 01:08:00,1,0,0,1,0,0,20,0,0,7,14,7,114375,0,0,8,9,8,11425,0,12:07:00,03:07:00,-1.7,Enrolled
1,1,4,9500,1,1,1900-01-05 22:00:00,1,19,19,1,1,1900-01-05 05:05:00,1,0,0,1,0,0,18,0,0,8,12,7,12857142857142800,0,0,8,12,7,12857142857142800,0,12:07:00,03:07:00,-1.7,Graduate
1,1,4,9670,1,1,1900-01-05 05:00:00,1,1,38,4,7,1900-01-04 18:09:00,1,0,0,1,0,1,19,0,0,6,8,6,13375,0,0,6,7,6,12285714285714200,0,11:01:00,00:06:00,02:02:00,Graduate
1,1,1,9500,1,1,1900-01-05 06:00:00,1,19,19,3,7,1900-01-05 03:09:00,0,0,0,1,0,0,19,0,0,7,8,6,13296666666666600,0,0,8,9,7,14114285714285700,0,11:01:00,00:06:00,02:02:00,Graduate
1,1,1,9238,1,1,1900-01-06 07:00:00,1,19,38,9,9,1900-01-06 13:00:00,1,0,1,1,0,1,18,0,0,6,8,5,11:06:00,0,0,6,12,4,11:00:00,0,07:06:00,02:06:00,00:32:00,Enrolled
1,17,2,9238,1,1,1900-01-04 19:00:00,1,19,38,7,8,1900-01-04 20:04:00,1,0,0,1,0,0,21,0,0,6,9,6,11375,0,0,6,9,6,13285714285714200,0,16:02:00,00:03:00,-0.92,Graduate
1,1,1,9085,1,1,1900-01-05 18:00:00,1,19,19,3,3,1900-01-05 11:00:00,1,0,0,1,0,0,18,0,0,5,9,5,12666666666666600,2,0,5,7,4,13:00:00,0,09:04:00,-0.8,-3.12,Enrolled
1,1,1,9147,1,1,1900-01-05 15:00:00,1,19,1,9,9,1900-01-05 02:01:00,1,0,0,1,0,0,20,0,0,5,6,5,12:00:00,0,0,5,6,5,12333333333333300,0,16:02:00,00:03:00,-0.92,Graduate
1,17,2,9500,1,1,1900-01-05 07:00:00,1,3,3,1,10,1900-01-04 22:08:00,1,0,0,1,1,0,19,0,0,7,9,6,12933333333333300,0,0,7,7,6,13716666666666600,0,16:02:00,00:03:00,-0.92,Enrolled
1,44,1,9003,1,39,1900-01-06 06:00:00,1,4,5,4,2,1900-01-06 06:00:00,0,0,0,1,1,0,21,0,0,6,15,5,11857142857142800,0,0,6,17,5,10571428571428500,0,16:02:00,00:03:00,-0.92,Enrolled
1,51,1,9070,1,1,1900-01-05 05:00:00,1,42,3,125,124,1900-01-05 10:00:00,1,0,0,1,1,0,20,0,2,6,7,6,12833333333333300,0,0,6,9,4,13:04:00,0,08:09:00,01:04:00,03:51:00,Graduate
1,1,1,9147,1,1,1900-01-05 23:00:00,1,1,1,4,6,1900-01-05 18:08:00,0,0,0,0,1,0,18,0,0,5,9,3,11333333333333300,0,0,5,8,2,13:05:00,0,08:09:00,01:04:00,03:51:00,Enrolled
1,18,1,8014,0,1,1900-01-05 18:00:00,1,19,1,9,5,1900-01-05 14:05:00,1,0,0,1,0,0,19,0,0,6,6,6,12666666666666600,0,0,6,8,6,14375,0,12:04:00,00:05:00,0.096527778,Graduate
1,1,1,9991,0,1,1900-01-05 10:00:00,1,2,37,3,9,1900-01-05 11:04:00,0,0,0,1,1,0,34,0,0,5,6,5,12:04:00,0,0,5,9,5,13428571428571400,0,13:09:00,-0.3,0.054861111,Graduate
1,39,1,33,1,1,1900-01-05 10:00:00,1,38,37,9,6,1900-01-04 06:05:00,0,0,1,0,1,0,37,0,0,7,7,0,00:00:00,0,0,7,7,1,10:00:00,0,08:09:00,01:04:00,03:51:00,Dropout
1,39,1,9119,1,10,1900-01-05 13:01:00,1,34,37,0,0,1900-01-05 08:08:00,1,0,0,1,1,0,43,0,0,5,0,0,00:00:00,0,0,5,0,0,00:00:00,0,07:06:00,02:06:00,00:32:00,Dropout
1,43,1,9147,1,1,1900-01-05 20:00:00,1,37,37,6,6,1900-01-05 02:09:00,0,0,0,1,0,0,55,0,0,5,10,1,10:00:00,0,0,5,8,2,12:00:00,2,16:02:00,00:03:00,-0.92,Dropout
4,39,1,9991,0,1,1900-01-05 00:00:00,1,19,19,9,3,1900-01-04 17:09:00,1,0,0,1,0,0,39,0,0,5,8,5,11:00:00,0,0,5,5,5,11:06:00,0,07:06:00,02:06:00,00:32:00,Graduate
1,44,1,9130,1,39,1900-01-05 00:00:00,6,4,4,3,6,1900-01-05 00:00:00,0,0,1,0,0,0,20,1,2,6,13,3,11666666666666600,0,1,6,11,3,12:00:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,1,5,9773,1,1,1900-01-05 06:00:00,1,3,3,2,2,1900-01-05 01:01:00,0,0,1,1,0,0,18,0,0,6,6,4,0.552083333,0,0,5,5,0,00:00:00,0,12:07:00,03:07:00,-1.7,Dropout
1,1,2,9147,1,1,1900-01-05 13:00:00,1,3,19,2,7,1900-01-05 00:04:00,1,0,0,1,0,0,22,0,0,5,5,5,14:08:00,0,0,5,5,5,15:08:00,0,08:09:00,01:04:00,03:51:00,Graduate
1,1,6,9500,1,1,1900-01-04 07:00:00,1,1,3,2,2,1900-01-04 04:06:00,1,1,0,1,0,0,22,0,0,7,9,5,13928,0,0,8,9,7,14342857142857100,0,11:01:00,00:06:00,02:02:00,Graduate
1,17,1,9773,1,1,1900-01-05 00:00:00,1,1,38,5,5,1900-01-05 01:04:00,0,0,0,0,0,0,20,0,0,6,7,4,13:00:00,0,0,6,7,5,13:08:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,39,1,9991,0,1,1900-01-05 13:01:00,1,37,37,9,9,1900-01-04 13:07:00,0,0,0,1,0,0,29,0,0,5,0,0,00:00:00,0,0,5,0,0,00:00:00,0,16:02:00,00:03:00,-0.92,Dropout
1,17,1,9991,0,1,1900-01-06 10:00:00,1,38,38,4,5,1900-01-05 14:01:00,0,0,0,1,0,0,24,0,0,5,9,2,11:05:00,0,0,5,11,3,14333333333333300,1,07:06:00,02:06:00,00:32:00,Enrolled
1,17,2,9238,1,1,1900-01-05 10:00:00,1,19,19,9,9,1900-01-05 07:06:00,1,0,0,1,0,0,18,0,0,6,6,6,11666666666666600,0,0,6,8,5,13:02:00,0,11:01:00,00:06:00,02:02:00,Graduate
1,17,6,9500,1,1,1900-01-05 12:00:00,1,37,19,7,7,1900-01-05 12:04:00,1,0,0,1,0,1,22,0,0,7,8,6,13516666666666600,0,0,8,9,7,13771428571428500,0,11:01:00,00:06:00,02:02:00,Graduate
1,44,1,8014,0,39,1900-01-05 10:00:00,1,1,19,9,9,1900-01-05 13:04:00,0,0,0,1,0,1,21,0,3,6,6,6,11:05:00,0,2,6,7,6,13285714285714200,0,12:04:00,00:05:00,0.096527778,Graduate
1,1,1,9238,1,1,1900-01-05 19:00:00,1,37,38,9,9,1900-01-05 06:01:00,0,0,0,1,0,1,19,0,0,6,7,5,12333333333333300,0,0,6,7,6,12833333333333300,0,12:07:00,03:07:00,-1.7,Graduate
1,39,1,9254,1,1,1900-01-05 10:00:00,1,19,38,9,7,1900-01-04 17:05:00,0,0,0,1,0,1,24,0,0,6,6,6,13666666666666600,0,0,6,6,6,14166666666666600,0,12:04:00,00:05:00,0.096527778,Graduate
1,1,1,9500,1,1,1900-01-05 19:00:00,1,37,38,6,6,1900-01-05 01:03:00,1,0,0,1,0,1,19,0,0,8,10,6,11833333333333300,0,0,8,10,6,11833333333333300,0,09:04:00,-0.8,-3.12,Enrolled
1,1,1,9773,1,1,1900-01-05 07:00:00,1,1,19,7,7,1900-01-05 01:08:00,1,0,0,1,0,1,20,0,0,6,11,4,14:00:00,0,0,6,12,3,11:00:00,0,09:04:00,-0.8,-3.12,Enrolled
1,1,3,9130,1,1,1900-01-06 23:00:00,1,37,37,90,90,1900-01-06 15:03:00,0,0,0,1,0,0,19,0,0,5,7,5,14714285714285700,0,0,5,5,5,15:08:00,0,07:06:00,02:06:00,00:32:00,Graduate
1,39,1,9991,0,1,1900-01-05 10:00:00,1,38,38,9,9,1900-01-05 00:00:00,0,0,0,1,0,0,27,0,0,5,12,5,10:06:00,0,0,5,10,5,11:00:00,0,09:04:00,-0.8,-3.12,Dropout
1,1,1,9500,1,1,1900-01-05 10:00:00,1,1,19,5,5,1900-01-05 09:01:00,1,0,0,1,0,0,18,0,0,7,9,7,13044444444444400,0,0,8,10,8,13595,0,15:05:00,02:08:00,-4.06,Graduate
2,7,1,9254,1,3,1900-01-05 10:00:00,1,1,3,4,3,1900-01-05 10:00:00,0,0,0,1,0,0,39,0,0,6,10,0,00:00:00,0,0,6,6,0,00:00:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,39,1,9130,1,40,1900-01-05 09:00:00,1,3,3,2,2,1900-01-06 11:03:00,1,0,0,1,0,0,27,0,0,6,9,5,13:00:00,0,5,11,13,10,12:09:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,17,1,9500,1,1,1900-01-05 21:00:00,1,38,38,7,10,1900-01-05 19:08:00,1,0,0,1,0,0,18,0,0,8,8,8,14935,0,0,8,8,8,14935,0,09:04:00,-0.8,-3.12,Graduate
1,1,3,171,1,1,1900-01-05 05:00:00,1,38,37,4,9,1900-01-04 19:02:00,1,0,0,1,0,0,18,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,07:06:00,02:06:00,00:32:00,Enrolled
1,1,2,9500,1,1,1900-01-05 05:00:00,1,19,19,9,9,1900-01-04 18:09:00,0,0,0,1,0,0,18,0,0,7,8,6,13133333333333300,0,0,8,12,7,12221428571428500,0,16:02:00,00:03:00,-0.92,Graduate
1,44,1,9238,1,39,1900-01-05 10:00:00,1,19,1,9,9,1900-01-05 11:09:00,0,0,0,1,0,1,21,0,3,6,7,6,12:00:00,0,2,6,7,6,12:00:00,0,13:09:00,-0.3,0.054861111,Graduate
1,17,3,171,1,1,1900-01-05 13:00:00,1,1,37,4,7,1900-01-05 06:00:00,1,0,0,1,1,1,19,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Enrolled
1,17,1,9070,1,1,1900-01-05 07:00:00,1,1,1,3,4,1900-01-05 10:02:00,1,0,0,1,1,0,19,0,0,6,6,5,11:04:00,0,0,6,8,1,10:00:00,0,10:08:00,01:04:00,0.093055556,Enrolled
1,43,1,9070,1,1,1900-01-04 20:00:00,1,1,1,3,3,1900-01-05 00:09:00,0,0,0,1,1,0,24,0,0,6,6,0,00:00:00,0,0,6,6,0,00:00:00,0,12:07:00,03:07:00,-1.7,Enrolled
4,42,1,9500,1,19,1900-01-05 13:01:00,1,1,1,5,5,1900-01-05 06:00:00,1,0,0,1,1,0,29,0,2,7,10,5,11:09:00,0,1,8,10,5,11:00:00,0,13:09:00,-0.3,0.054861111,Dropout
1,1,3,171,1,1,1900-01-05 19:00:00,1,19,19,5,3,1900-01-05 08:02:00,1,0,0,1,1,1,19,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Graduate
1,44,1,9003,1,39,1900-01-05 10:00:00,1,19,37,9,9,1900-01-05 10:00:00,1,0,0,1,1,0,23,0,0,6,8,6,12571428571428500,0,0,6,7,6,12428571428571400,0,08:09:00,01:04:00,03:51:00,Graduate
1,1,3,9147,1,1,1900-01-05 05:00:00,1,1,38,7,7,1900-01-05 00:01:00,0,0,1,1,1,0,19,0,0,5,8,5,11:02:00,0,0,5,10,4,0.46875,3,16:02:00,00:03:00,-0.92,Dropout
1,39,1,9254,1,1,1900-01-06 16:00:00,1,19,37,7,10,1900-01-04 04:00:00,0,0,0,1,1,0,26,0,0,6,7,6,12:00:00,0,0,6,8,5,10:08:00,0,12:07:00,03:07:00,-1.7,Enrolled
1,17,1,9147,1,1,1900-01-06 04:00:00,1,38,37,5,5,1900-01-05 14:00:00,0,0,0,1,1,0,18,0,0,5,9,0,00:00:00,0,0,5,5,0,00:00:00,0,07:06:00,02:06:00,00:32:00,Enrolled
1,17,1,9500,1,1,1900-01-06 06:00:00,1,37,19,8,4,1900-01-05 10:08:00,0,0,0,1,1,0,24,0,0,7,8,7,11975,0,0,8,8,8,0.59375,0,13:09:00,-0.3,0.054861111,Graduate
1,1,1,171,1,1,1900-01-05 21:00:00,1,19,19,5,10,1900-01-05 15:08:00,1,0,0,1,1,0,19,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,15:05:00,02:08:00,-4.06,Dropout
1,17,4,9254,1,1,1900-01-04 22:00:00,1,38,37,5,7,1900-01-04 15:07:00,1,0,0,1,1,0,18,0,0,6,12,3,11666666666666600,0,0,6,12,1,12:00:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,1,2,9773,1,1,1900-01-05 22:00:00,1,38,38,9,9,1900-01-05 12:09:00,1,0,0,1,1,0,18,0,0,6,8,6,12333333333333300,0,0,6,11,3,12333333333333300,0,10:08:00,01:04:00,0.093055556,Graduate
1,17,3,9147,1,1,1900-01-05 00:00:00,1,19,19,4,7,1900-01-04 19:05:00,1,0,1,1,1,0,18,0,0,5,8,3,10333333333333300,0,0,5,11,3,10857142857142800,0,10:08:00,01:04:00,0.093055556,Dropout
1,18,4,9254,1,1,1900-01-04 10:00:00,1,19,37,7,7,1900-01-04 10:00:00,1,0,0,1,1,1,21,0,0,6,8,4,10:05:00,0,0,6,11,1,11:00:00,0,09:04:00,-0.8,-3.12,Dropout
1,17,4,9773,1,1,1900-01-05 01:00:00,1,1,19,9,8,1900-01-05 00:03:00,1,0,1,1,1,1,19,0,0,6,6,6,13666666666666600,0,0,6,6,6,13333333333333300,0,08:09:00,01:04:00,03:51:00,Graduate
1,17,4,9500,1,1,1900-01-06 06:00:00,1,38,37,9,9,1900-01-05 10:08:00,0,0,0,1,1,1,22,0,0,7,7,7,14842857142857100,0,0,8,9,8,15055555555555500,0,16:02:00,00:03:00,-0.92,Graduate
2,39,1,8014,0,1,1900-01-05 00:00:00,1,37,37,9,6,1900-01-04 21:00:00,0,0,0,1,1,0,33,0,0,6,8,6,12:00:00,0,0,6,6,6,11666666666666600,0,10:08:00,01:04:00,0.093055556,Graduate
1,1,6,9853,1,1,1900-01-04 18:00:00,1,19,19,9,9,1900-01-04 14:02:00,1,0,0,1,1,0,20,0,0,6,8,5,12:02:00,0,0,6,7,5,12:02:00,0,10:08:00,01:04:00,0.093055556,Dropout
1,39,1,9991,0,2,1900-01-05 20:00:00,1,3,3,2,2,1900-01-06 11:07:00,1,0,0,1,1,0,35,0,0,1,1,0,00:00:00,1,0,5,0,0,00:00:00,0,10:08:00,01:04:00,0.093055556,Dropout
1,39,1,9003,1,4,1900-01-06 16:00:00,1,3,3,4,2,1900-01-07 12:04:00,0,0,1,1,1,0,24,0,6,12,17,6,12166666666666600,0,7,12,14,10,13:03:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,17,1,9254,1,1,1900-01-05 00:00:00,1,19,19,4,4,1900-01-05 05:05:00,0,0,0,1,1,0,18,0,0,5,6,5,12:00:00,0,0,5,8,3,11333333333333300,0,12:07:00,03:07:00,-1.7,Enrolled
2,39,1,8014,0,1,1900-01-05 10:00:00,1,37,37,9,6,1900-01-04 14:00:00,1,0,0,1,0,0,33,0,0,6,7,6,11:00:00,0,0,6,11,5,11:00:00,0,09:04:00,-0.8,-3.12,Graduate
1,42,1,9500,1,1,1900-01-06 16:00:00,1,37,38,9,7,1900-01-06 17:00:00,1,0,0,1,0,1,22,0,0,8,8,7,13:08:00,0,0,8,8,7,13:08:00,0,10:08:00,01:04:00,0.093055556,Graduate
1,39,1,9670,1,1,1900-01-05 00:00:00,1,1,19,4,5,1900-01-04 04:00:00,0,0,0,1,0,1,25,0,0,5,7,4,10:05:00,0,0,5,7,5,11:06:00,0,09:04:00,-0.8,-3.12,Graduate
1,17,1,9070,1,1,1900-01-05 04:00:00,1,19,38,4,0,1900-01-04 21:06:00,1,0,0,1,1,0,20,0,0,6,9,6,10666666666666600,1,0,6,6,5,11:02:00,0,07:06:00,02:06:00,00:32:00,Graduate
1,1,6,9147,1,1,1900-01-05 23:00:00,1,38,37,9,9,1900-01-05 08:07:00,1,0,0,1,1,0,23,0,0,5,6,4,14:00:00,0,0,5,5,5,13:08:00,0,11:01:00,00:06:00,02:02:00,Enrolled
1,43,2,9119,1,1,1900-01-04 19:00:00,1,38,19,9,6,1900-01-04 16:02:00,1,0,1,1,1,0,18,0,0,5,9,2,10:00:00,0,0,5,9,0,00:00:00,0,15:05:00,02:08:00,-4.06,Enrolled
1,39,1,9500,1,1,1900-01-05 13:01:00,1,1,1,4,10,1900-01-04 04:08:00,0,0,0,1,1,0,24,0,0,7,18,0,00:00:00,0,0,7,7,0,00:00:00,0,13:09:00,-0.3,0.054861111,Dropout
1,17,2,9773,1,1,1900-01-05 13:01:00,41,19,1,9,9,1900-01-04 09:00:00,1,0,0,0,0,0,21,1,0,6,6,6,14:00:00,0,0,6,6,6,13:05:00,0,08:09:00,01:04:00,03:51:00,Graduate
1,15,1,9130,1,1,1900-01-05 13:01:00,41,1,1,4,4,1900-01-04 04:00:00,0,0,0,1,0,0,26,1,0,6,7,2,12:00:00,1,0,6,6,0,00:00:00,0,08:09:00,01:04:00,03:51:00,Dropout
2,39,1,9853,1,10,1900-01-05 13:01:00,1,37,34,0,0,1900-01-04 19:05:00,0,0,0,1,0,0,39,0,0,6,12,3,12666666666666600,0,0,6,14,0,00:00:00,1,07:06:00,02:06:00,00:32:00,Dropout
2,39,1,8014,0,1,1900-01-05 13:01:00,1,37,19,9,9,1900-01-04 18:00:00,0,0,0,1,0,0,44,0,2,8,11,8,11875,0,0,6,7,6,12333333333333300,0,12:07:00,03:07:00,-1.7,Graduate
1,15,1,9119,1,1,1900-01-05 10:00:00,26,38,3,9,2,1900-01-05 17:00:00,1,0,0,1,1,0,19,1,0,5,9,5,14:00:00,0,0,5,11,3,13:25:00,0,13:09:00,-0.3,0.054861111,Enrolled
1,1,5,9773,1,1,1900-01-05 15:00:00,1,37,1,5,5,1900-01-05 04:09:00,1,0,0,1,0,0,18,0,0,6,6,6,13666666666666600,0,0,6,6,6,13333333333333300,0,08:09:00,01:04:00,03:51:00,Graduate
1,1,5,9500,1,1,1900-01-05 12:00:00,1,37,37,7,7,1900-01-05 00:03:00,1,0,0,1,0,1,18,0,0,7,7,7,0.59375,0,0,8,9,8,1447777777777770,0,12:04:00,00:05:00,0.096527778,Graduate
1,1,1,9085,1,1,1900-01-05 15:00:00,1,1,2,9,1,1900-01-05 14:03:00,1,0,0,1,0,0,19,0,0,5,7,5,14:02:00,2,0,5,7,5,13:08:00,0,12:07:00,03:07:00,-1.7,Enrolled
1,1,4,9500,1,1,1900-01-04 19:00:00,1,3,3,2,2,1900-01-04 15:05:00,1,0,1,0,0,0,19,0,0,7,10,4,0.525,0,0,7,7,0,00:00:00,0,13:09:00,-0.3,0.054861111,Dropout
1,53,1,9085,1,42,1900-01-05 10:00:00,1,38,38,9,9,1900-01-05 08:08:00,0,0,0,1,0,0,21,0,7,10,12,8,12875,0,4,9,14,5,13:04:00,0,08:09:00,01:04:00,03:51:00,Dropout
1,1,4,171,1,1,1900-01-05 13:01:00,1,1,1,9,10,1900-01-04 14:00:00,1,0,0,1,0,0,20,0,0,0,0,0,00:00:00,0,0,0,0,0,00:00:00,0,16:02:00,00:03:00,-0.92,Graduate
2,39,1,8014,0,1,1900-01-05 10:00:00,1,37,37,6,5,1900-01-04 17:05:00,1,0,0,1,0,0,36,0,0,6,0,0,00:00:00,0,0,6,0,0,00:00:00,0,09:04:00,-0.8,-3.12,Dropout
4,39,1,9003,1,12,1900-01-05 13:01:00,1,37,37,9,6,1900-01-06 16:00:00,0,0,0,1,0,0,43,0,13,18,19,18,1463157894736840,0,10,13,14,13,1423076923076920,1,15:05:00,02:08:00,-4.06,Graduate
1,18,1,9853,1,1,1900-01-05 03:00:00,1,19,19,9,7,1900-01-04 21:04:00,1,0,0,1,0,0,19,0,0,6,0,0,00:00:00,0,0,6,0,0,00:00:00,0,11:01:00,00:06:00,02:02:00,Dropout
1,51,1,9070,1,1,1900-01-05 10:00:00,1,3,1,2,8,1900-01-05 02:02:00,0,0,1,1,0,0,20,0,4,10,12,10,13:00:00,0,5,11,11,11,12272727272727200,0,11:01:00,00:06:00,02:02:00,Graduate
1,1,2,9238,1,1,1900-01-05 02:00:00,1,37,38,4,7,1900-01-04 22:02:00,1,0,0,1,0,0,19,0,0,6,0,0,00:00:00,0,0,6,0,0,00:00:00,0,16:02:00,00:03:00,-0.92,Dropout
1,1,1,9085,1,1,1900-01-04 17:00:00,1,1,1,4,4,1900-01-04 10:07:00,1,0,0,1,0,0,20,0,0,6,15,4,14:02:00,0,0,6,17,4,13:25:00,0,15:05:00,02:08:00,-4.06,Dropout
1,1,5,9500,1,1,1900-01-04 15:00:00,1,3,4,4,3,1900-01-04 12:02:00,1,0,0,1,0,0,20,0,2,7,9,6,13266666666666600,0,0,7,10,5,12:03:00,0,12:04:00,00:05:00,0.096527778,Dropout
1,17,2,9853,1,1,1900-01-05 13:01:00,1,19,1,9,3,1900-01-04 11:00:00,1,0,0,1,0,0,20,0,0,7,12,6,11666666666666600,0,0,7,10,3,13:00:00,0,16:02:00,00:03:00,-0.92,Enrolled
1,1,1,9238,1,1,1900-01-05 22:00:00,1,37,37,6,7,1900-01-05 16:01:00,1,0,0,1,0,0,18,0,0,6,8,6,13857142857142800,0,0,6,6,6,15:00:00,0,13:09:00,-0.3,0.054861111,Graduate
